title,price,area,price_per_sqft,locality,city,property_type,bedroom_num,bathroom_num,balcony_num,furnished,age,total_floors,latitude,longitude,metro_score,bus_score,hwy_score,airport_score,IABS
Octave Parijas Horizon,6600283,757,8719.0,Kalyan,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.24440956,73.12325287,0.2,0.2,0.5,0.0,23.0
Shakti Siyara Heights,6169841,652,9462.946319,Kalyan,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.2572937,73.14887238,0.0,0.0,0.2,0.0,4.000000000000001
Bhagwati Bhagwati Celeste,4599936,396,11616.0,Dombivali,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.20902634,73.08127594,0.5,0.0,0.0,0.0,20.0
Relcon Ridhi Sidhi Sadan Of Ridhi Sidhi Co Operative Housing Society Ltd,51980000,1130,46000.0,Vile Parle,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.09784126,72.85115814,0.5,0.5,0.8,0.3,53.0
J P Ruchita Bliss,3915000,435,9000.0,Nala Sopara,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.42060089,72.80931854,0.2,0.0,0.0,0.0,8.000000000000002
Saras Destiny,4900320,720,6806.0,Ulwe,Mumbai,Apartment,1,1,0,Unfurnished,0,1,18.96756172,73.02495575,0.0,0.0,0.2,0.0,4.000000000000001
Nexus Ratan Heritage,14000000,652,21472.39264,Jogeshwari,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.13776207,72.86013031,0.2,0.5,0.5,0.0,30.500000000000004
Aristocrat Guruprasad Divine Residency,16400255,565,29027.0,Chembur,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.0322113,72.89522552,0.8,0.2,0.8,0.0,53.0
9 PBR 9 PBR,74998440,1770,42372.0,Nerul,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.00825882,73.01303101,0.0,0.5,0.0,0.0,12.5
Prestige Bellanza Phase 2 Wing D E F At The Prestige City,65900000,2600,25346.15385,Mulund,Mumbai,Apartment,4,5,0,Unfurnished,0,1,19.18447304,72.94075775,0.0,0.5,0.0,0.0,12.5
Konark Darshan,3000000,590,5084.745763,Nallasopara W,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.41750526,72.81793976,0.8,0.0,0.0,0.0,32.00000000000001
